4.440706,4.403875,-0.024625,0.000000,0.234869
4.116905,4.403875,0.049251,-0.228153,-0.252651
3.805719,4.374069,0.117849,0.007712,0.135049
3.338940,4.307004,0.198924,-0.181403,-0.164372
3.027754,4.232489,0.264072,-0.027952,0.071019
2.733389,4.150522,0.298990,-0.090668,0.144321
2.485282,4.068554,0.370633,-0.198090,0.293875
2.275021,3.979136,0.492910,-0.383461,-0.694345
2.068966,3.867362,0.562496,0.045760,2.127966
1.879731,3.748137,0.773783,-1.162295,-2.239670
1.707317,3.591654,0.974841,-0.003845,1.187434
1.530698,3.412817,1.087323,-0.633015,1.596394
1.383516,3.233979,1.377407,-1.337899,-3.862428
1.253154,3.040238,1.529312,0.172639,20.808254
1.160639,2.883756,2.031660,-5.602571,-34.435289
1.068124,2.675112,2.184109,3.954742,-11.241327
0.984020,2.526080,1.280340,6.791074,27.116534
0.862069,2.421759,0.833820,-3.129609,-15.428923
0.756939,2.317437,0.980274,1.736535,12.984405
0.668629,2.235469,0.977348,-1.703404,-14.773684
0.580320,2.146051,0.932561,2.210566,24.470436
0.492010,2.064083,1.114636,-4.272350,-23.547121
0.412111,1.959762,1.346385,1.371830,-5.631501
0.323802,1.855440,0.972341,2.863775,96.995531
0.239697,1.736215,2.548932,-21.609446,-468.330088
0.172414,1.609538,-0.903628,72.923120,1584.395580
0.100925,1.467958,12.961784,-266.875764,-16721.335871
0.071489,1.281669,-14.793933,1209.777110,80463.930990
0.046257,1.132638,77.831921,-4880.848449,68975.520991
0.075694,0.953800,-30.214842,1210.345583,-13781.755537
0.109336,0.782414,4.428235,-180.580123,1215.437717
0.172414,0.648286,-3.844934,49.422810,-256.767398
0.248108,0.529061,-0.776421,-8.884337,43.082939
0.344828,0.409836,-1.285916,3.616600,-11.068870
0.445753,0.305514,-0.894143,0.265218,3.957349
0.555088,0.216095,-0.694226,1.563255,-4.776339
0.685450,0.141580,-0.530158,-0.304700,-0.946038
0.824222,0.059613,-0.669382,-0.698551,5.461049
0.958789,-0.029806,-0.560715,1.506078,-3.297704
1.169050,-0.111773,-0.364747,-0.574055,1.625221
1.366695,-0.193741,-0.401204,0.389596,-0.809454
1.597981,-0.275708,-0.350889,-0.172051,1.280597
1.829268,-0.350224,-0.224964,0.716504,-0.876947
2.203532,-0.380030,-0.057152,-0.268125,0.525550
2.544155,-0.409836,-0.056882,0.268918,-0.596134
2.813288,-0.417288,-0.041672,-0.212402,0.593984
3.078217,-0.432191,-0.029145,0.259687,-0.575832
3.288478,-0.432191,0.003688,-0.103537,0.097633
3.645921,-0.439642,-0.032907,0.001158,0.086673
3.948696,-0.447094,-0.008369,0.079885,-0.168020
4.268293,-0.447094,-0.008793,-0.081211,0.090666
